label,title
genuine,Dopey takes a spill at Disney World
genuine,Waaaait! Late Ryanair passenger tries to catch flight
genuine,Sen. Susan Collins explains opposition to Donald Trump
genuine,Child badly hurt in Tennessee Ferris wheel accident
genuine,We're at the Rio Olympics with athletes from the country of Na...
genuine,Great Big Story
genuine,Orlando gunman's father attends Clinton rally
genuine,"Chinese tourist mistaken as an asylum seeker, spends 2 weeks in shelter"
genuine,"We're live from Harris County, Tx, where a baby's death is par..."
genuine,Gymnast kicked off Dutch Olympic team for drinking
genuine,Tim Tebow Reportedly Pursuing MLB Career
genuine,"A 19,000-ton oil rig has blown ashore in Scotland"
genuine,Virginia mayor will resign after meth-for-sex bust
genuine,Police dish out love -- and spaghetti -- to this lonely couple
genuine,91-year-old hospital patient knits hats for homeless
genuine,50 GOP national security experts oppose Trump
genuine,16-year-old South African invents wonder material to fight drought
genuine,Is Olympic coverage undercutting women's achievements?
genuine,Fury in China after Australian calls swimmer a drug cheat
genuine,Lilly King beats Yulia Efimova in Olympic grudge race
genuine,World's longest hunger strike expected to end Tuesday
genuine,Rio 2016 officials apologize to China for using wrong flag
genuine,Michael Phelps face: The new way to look unimpressed
genuine,What you need to know about hot car deaths
genuine,Japan's crystal universe
genuine,www.cnn.com
genuine,"What makes a car, well, sexy?"
genuine,10 strange sports you didn't know were in the Olympics
genuine,Even billionaires have a gender problem
genuine,Patriotism! Puffy coats! 60 years of U.S. Olympics uniforms
genuine,Phelps face: The new way to look unimpressed
genuine,Your genes play a role in when you lose your virginity
genuine,Bride is walked down the aisle by man who received her dad's h...
genuine,Two Benghazi victims' parents sue Clinton
genuine,Three Tennessee girls hurt in fall from Ferris wheel
genuine,GOP senator: 'I will not be voting for Donald Trump'
genuine,Evan McMullin: Trump is 'inhuman'
genuine,Marijuana candy sickens 19 at quinceañera
genuine,Boy dies at Kansas City water park
genuine,Organized protests disrupt Trump speech
genuine,Getting the perfect Olympics shot with underwater robots
genuine,"For his birthday, boy gives shoes to kids in need"
genuine,My parents 'would die': Families fear impact of Trump's border wall plan
genuine,Family pastor of 10-year-old boy killed on waterslide holds pr...
genuine,Protesters interrupt Trump 14 times during speech
genuine,"1 in 8 US adults says they smoke marijuana, poll says"
genuine,Great Big Story
genuine,"Snoop Dogg, Martha Stewart to star together in VH1 show"
genuine,People on the internet love Aly Raisman's nervous parents
genuine,Russian athletes hit with boos at Olympics
genuine,"Google employee found dead, police launch homicide probe"
genuine,Bride is walked down the aisle by man who received her dad's heart
genuine,Olympic selfie briefly unites North and South Korea
genuine,Great Big Story
genuine,Muhammad: Trump's words are dangerous
genuine,Anti-Trump conservatives recruit candidate for WH bid
genuine,Fencer becomes first U.S. Olympian to compete in hijab
genuine,Great Big Story
genuine,"""Trump: Many workers' """"tax rate will be zero"""""""
genuine,Couple married 63 years die minutes apart
genuine,Bolt's Agent Confirms the Sprinter Has Never Run a Mile
genuine,Republican says Trump is the emperor with no clothes (via CNN Opinion)
genuine,"Fallon, Rogen go head to head in lip sync battle"
genuine,Rubio opposes abortions for Zika-infected women
genuine,Shark attacks diver
genuine,Does having sex affect athletic performance?
genuine,Man killed while leaning out of a train window
genuine,41-year-old gymnast competes in 7th Olympics
genuine,Family of 5 dead in apparent murder-suicide
genuine,Karate instructor to student: It's OK to cry
genuine,Shirtless Justin Trudeau photobombs wedding
genuine,Report: George P. Bush urges Republicans to back Trump
genuine,Child dies at Kansas Schlitterbahn water park
genuine,Travel the London tube with these high-tech nails
genuine,All Delta flights are grounded
genuine,Japan's Emperor Akihito gives rare televised speech
genuine,What are those red spots on some Olympic athletes?
genuine,"Blast in Pakistan hospital kills at least 30, official says"
genuine,"2 foreigners kidnapped in Afghanistan, official says"
genuine,A private company is cleared to go to the moon
genuine,Japanese Emperor Akihito gives rare TV speech
genuine,Fareed's Take: Why I called Trump a BS artist
genuine,Hollywood's favorite city to destroy
genuine,Five new sports are coming to the summer Olympics
genuine,"In the age of Zika, how do you plan a family?"
genuine,Rio 2016 Olympics: Day 2 action live
genuine,Going online at an Airbnb? Careful with the wifi
genuine,China tests a bus that can drive over cars
genuine,Experience Rio like the locals
genuine,10 things Brazil does better than anywhere else
genuine,The ancient evolutionary origin of the female orgasm
genuine,Hear a vinyl record played in space for first time
genuine,Trump vs. Clinton: Russia's view
genuine,"Injured 84-year-old calls wrong number, finds savior in car salesman"
genuine,Our Rio Olympics travel guide
genuine,How 'Pokemon Go' helps kids with autism and Asperger's
genuine,Look inside 'El Chapo' hideaways
genuine,Slugger Alex Rodriguez to retire
genuine,Take a tour of the Rio 2016 athletes' village
genuine,"Canna-butter, astro eggs and other costly superfood trends"
genuine,Former CIA acting director on Clinton: I 'trust her'
genuine,Iran: Nuclear scientist executed for spying for US
genuine,Poll: Clinton leads Trump by 8
genuine,CNN
genuine,Kasich: Trump Jr. called aide to float VP offer
genuine,Town's lone black firefighter's home burns down after racist threat
genuine,Kentucky judge outraged by inmate's shorts
genuine,Melania Trump's nude photos expose gap in her immigration story
genuine,Rio 2016: Ledecky among Sunday highlights
genuine,The Olympic athletes to follow on Instagram
genuine,Oscar Pistorius treated for injuries suffered in prison
genuine,"Nuts, by the truckload, make appetizing targets for thieves"
genuine,Take a look inside the #Rio2016 Olympic Park
genuine,Trump on Clinton: 'She took a short-circuit in the brain'
genuine,Japan's crystal universe is like a magical installation from another planet
genuine,Millennials are having less sex than Gen Xers
genuine,2 skydivers killed in tandem jump in California
genuine,Hurricanes vs. typhoons
genuine,"Two dogs take a joyride, crash into a West Virginia Walmart"
genuine,Bangkok Railway Station turns 100
genuine,"In Venezuela, buying flour, pasta and milk can cost a month's pay"
genuine,"Distracted driving: Parents do it, too"
genuine,Orlando wants to buy Pulse nightclub and turn it into a memorial
genuine,Apple is replacing the pistol emoji with a water gun in the next version of iOS10
genuine,Mystery whale has scientists shocked
genuine,Meet the guy who writes the fortune in your fortune cookie
genuine,Mom smacks down body shamer at the pool
genuine,20 vintage planes you can still fly in
genuine,Uber driver will see his son compete in Rio thanks to passenger
genuine,Hollywood's favorite city to destroy
genuine,Refugee swimmer off to flying start at Olympics
genuine,Fishermen catch 13-foot hammerhead shark
genuine,"Skydiver plummets 25,000 feet -- with no parachute"
genuine,Cuba battles lung cancer with its own vaccine
genuine,Why eating meat is linked to higher risk of death
genuine,Leftovers from a fallen society'
genuine,Olympics: Dreaming of gold
genuine,"Man joins human chain, defies death to rescue woman in flood"
genuine,Role-playing distracted driving to stop it
genuine,Mom shuts down body shamer at the pool
genuine,Obama breaks barrier with Trump takedowns
genuine,Would you brave this new skywalk in China?
genuine,Women without tonsils or appendix may be more fertile
genuine,Salmonella outbreak in 9 states linked to alfalfa sprouts
genuine,Rio Olympics: Opening ceremony
genuine,Dozens injured after fence collapse at Snoop Dogg concert
genuine,Fareed's Take: Why I called Trump a BS artist
genuine,Bar fire kills 13 people in France's Rouen
genuine,Opening Ceremony: 'Rio is ready to make history' as Olympic Games begin
genuine,Patriotism! Puffy coats! 60 years of U.S. Olympics uniforms
genuine,Video purportedly showing US payment to Iran emerges
genuine,Donald Trump endorses Paul Ryan
genuine,Rio Olympics opening ceremony: Live updates
genuine,"David Huddleston, 'The Big Lebowski,' has died at 85"
genuine,Donald Trump: 'I love babies'
genuine,Melania Trump's nude photos expose gap in her immigration story
genuine,Video from Chicago shooting of unarmed man released
genuine,Live from the Olympic Boulevard in Rio
genuine,Hillary Clinton tears into Trump at journalism conference
genuine,10 strange sports you didn't know were in the Olympics
genuine,Shooter targets Lebanon's first Olympic gold
genuine,Trump expected to endorse Ryan days before primary matchup
genuine,Paul O'Neal's family spokesman comments on family's reaction t...
genuine,Chicago police release video related to shooting of unarmed man
genuine,How 'Pokemon Go' helps kids with autism and Asperger's
genuine,Chicago police warn of 'civil unrest' ahead of video release
genuine,Extra chromosome lets us eat oysters year round
genuine,Live video of Olympic torch in Rio
genuine,11-year-old Trump supporter defends GOP candidate's 'bad words'
genuine,Trump backs off false Iran video claim
genuine,Girl from Ipanema carries Olympic torch
genuine,"Ex-CIA chief endorses Clinton, labels Trump 'threat to national security'"
genuine,"Trump floats Ivanka for Cabinet, prompting Clinton jab"
genuine,"Gay Syrian refugee found beheaded, mutilated in Turkey"
genuine,Quiz: Which Olympic sport should you play?
genuine,Black Lives Matter block London's Heathrow Airport
genuine,This wireless speaker is as loud as a rock concert
genuine,Take a tour of the Rio 2016 athletes' village
genuine,Attackers kill at least 12 at Indian market
genuine,14 bodies recovered after India bridge collapse
genuine,"""The real """"Girl from Ipanema"""" carries the Olympic torch"""
genuine,"Gay Syrian refugee found beheaded, mutilated in Turkey"
genuine,"""Many Taiwanese aren't happy about having to go to the Olympics as """"Chinese Taipei"""""""
genuine,Police: Twin babies die after being left in hot car
genuine,Thirteen ways to think like a champion
genuine,Japan's crystal universe is like a magical installation from another planet
genuine,Japan's crystal universe is like a magical installation from another planet
genuine,What it's like to run with the Olympic torch
genuine,China tests a bus that can drive over cars
genuine,India floods claim lives of rare one-horned rhinos
genuine,The science of distracted driving: Why can't we stop?
genuine,Russia denies diplomat killed robber in Rio
genuine,This is what we're spending money on in airports
genuine,Police: Woman dies trying to save grandchildren from sex offender
genuine,George Zimmerman was reportedly punched in the face
genuine,Town's lone black firefighter's home burns down after racist threat
genuine,Donald Trump has Harvard Republicans seeing crimson
genuine,Clinton's lead over Trump grows in new national polls
genuine,Secret Service rushes stage to protect Clinton from protesters
genuine,President Obama: 'We do not pay ransom'
genuine,271 Russian athletes cleared for Rio Games
genuine,Obama asked about Trump claim that election will be 'rigged'
genuine,Great Big Story
genuine,"Injured 84-year-old calls wrong number, finds savior in car salesman"
genuine,The cybersecurity company LookingGlass doesn't catch Pokemon -- it exterminates them
genuine,Protesters with pocket constitutions removed from Trump rally
genuine,Cape Breton Island and the 'Trump Bump'
genuine,Phoenix police say 'Serial Shooter' now connected to 9 shootings
genuine,Accused Charleston church shooter Dylann Roof beaten in jail
genuine,Great Big Story
genuine,Dramatic video from inside the Emirates plane
genuine,11-year-old puts Pence on the spot with Trump question
genuine,Burkini-only event at French water park sparks outrage
genuine,Trump campaign fact-checks itself
genuine,We're in Miami where the CDC has warned travelers about Zika
genuine,Why are we so squeamish about breast-feeding?
genuine,Great Big Story
genuine,Obama frees grandmother of Denver Broncos' Demaryius Thomas
genuine,Award-winning bar in an unlikely place
genuine,We're live at the Russia House on Copacabana Beach in Rio de J...
genuine,SeaWorld stock hits all-time low
genuine,Muslim in America: 'I could use a hug'
genuine,"Apple says it now pays women, men, whites and minorities equally"
genuine,CNN's second Libertarian town hall in 90 seconds
genuine,Battleground polls: Clinton tops Trump post-convention
genuine,"GOP congressman on Trump: 'Honestly, I don't care for him much'"
genuine,Olympics: IOC adds five new sports to Games for Tokyo 2020
genuine,"Fox News voice not changing despite Ailes' departure, but questions linger"
genuine,GOP's long-simmering civil war breaks into the open
genuine,Pokemon Go is in Rio just in time for the Olympics
genuine,Orlando wants to buy Pulse nightclub and turn it into a memorial
genuine,"China's moon rover, Jade Rabbit, says farewell"
genuine,Boko Haram's new leader promises not to target Muslims
genuine,"""""""Suicide Squad"""" premieres in London"""
genuine,A husband hacked off his wife's hands after saying she failed to have children
genuine,China tests a bus that can drive over cars
genuine,90 seconds in Hong Kong
genuine,Hurricane Earl makes landfall in Belize
genuine,Leftovers from a fallen society'
genuine,The ancient evolutionary origin of the female orgasm
genuine,Lovesick man waits 10 days for online girlfriend
genuine,What went wrong in Venezuela?
genuine,China claims it could become the next Syria if Hong Kong gets independence
genuine,India floods claim lives of rare one-horned rhinos
genuine,"1 dead, 5 hurt in London knife attack"
genuine,Police: Mental health a 'major factor' in London knife attack ...
genuine,Donald Trump on 'blood' remarks
genuine,William Weld: Donald Trump has 'a screw loose'
genuine,Gary Johnson on BLM: We've had our heads in the sand
genuine,Libertarian candidates react to London knife attack
genuine,"1 person dead in London knife attack, police say"
genuine,"Police: 1 dead, 5 hurt in London knife attack"
genuine,What to watch at CNN's Libertarian town hall
genuine,GOP congressman says he can't support Trump
genuine,Fox News poll: Clinton opens up 10-point lead over Trump
genuine,Pope Francis says schools shouldn't teach children that gender is a choice
genuine,Libertarians to make their case at CNN town hall
genuine,China tests a bus that can drive over cars
genuine,Earl becomes a Category 1 hurricane
genuine,SCOTUS blocks order on transgender bathroom use
genuine,Hillary Clinton sits back and watches as GOP drama intensifies
genuine,China builds 'elevated bus' that can glide over traffic
genuine,US sent plane with $400 million in cash to Iran
genuine,Just in: DC transit police officer charged with aiding ISIS
genuine,Suicide Squad' star Will Smith explains why he could play Barack Obama in a movie
genuine,Runner's tweet of Olympic dreams comes true
genuine,"Pinky the flamingo dies after attack by park guest, officials say"
genuine,Great Big Story
genuine,Great Big Story
genuine,33 US military members have contracted Zika
genuine,Great Big Story
genuine,Rare Amur leopards born at British zoo
genuine,"Trump aide: Clinton responsible for Khan's death, not Obama"
genuine,Hollywood's favorite city to destroy
genuine,"California bus nearly splits in half in crash, 5 killed"
genuine,Private company gets FAA clearance to fly to the Moon
genuine,Why millennials are having less sex than Generation Xers
genuine,Arab weightlifter empowers women
genuine,Woman killed in standoff with Baltimore County police was live-streaming
genuine,Emirates flight catches fire
genuine,Khizr Khan: John McCain was my son's 'hero'
genuine,Record number applied for asylum in Europe in 2015
genuine,600 extra armed police deployed in London
genuine,Few fear Zika following first mosquito-borne cases in US
genuine,Donald Trump's strange campaign gets stranger
genuine,Employers in Massachusetts are now banned from asking job candidates their salary history
genuine,Emirates flight catches fire in Dubai
genuine,Women without tonsils or appendix may be more fertile
genuine,Search for survivors after buses plunge into Indian river
genuine,"In Venezuela, buying flour, pasta and milk can cost a month's pay"
genuine,"Violence in South Sudan has caused 60,000 people to flee"
genuine,Meet the guy who writes the fortune in your fortune cookie
genuine,"Distracted driving: Parents do it, too"
genuine,Bangkok Railway Station turns 100
genuine,20 vintage planes you can still fly in
genuine,This wireless speaker is as loud as a rock concert
genuine,They came to Kenya as refugees -- and they left as Olympians
genuine,Trump: 'You can get the baby out of here'
genuine,Dead souls in living bodies': Australia accused of abusing refugees
genuine,Our Rio Olympics travel guide
genuine,Feathers fly over Donald Trump eating fried chicken with a fork
genuine,Mystery whale has scientists shocked
genuine,Sad 'Harry Potter' is ending? Never fear!
genuine,Investigation launched after child apparently seen in zoo rhino enclosure
genuine,Khan to Trump: 'Put that Purple Heart back'
genuine,"Two dogs take a joyride, crash into a West Virginia Walmart"
genuine,Trump responds to Obama: 'He's a terrible president'
genuine,"Sarah Palin's son-in-law, a veteran, calls on Trump to apologize"
genuine,Patton Oswalt writes moving Facebook post about grieving his wife
genuine,Trump vs. Trump
genuine,Sergeant praises Captain Khan: 'He wore the American flag like...
genuine,Team USA's Olympic uniform mocked
genuine,New Texas law allows students to carry guns on campus
genuine,Donald Trump says The New York Times doesn't 'write good'
genuine,Megyn Kelly's 'sigh' on sexual harassment speaks volumes
genuine,Shannen Doherty reveals her cancer has spread and she's had a mastectomy
genuine,DNC CEO resigns in wake of email scandal
genuine,Donald Trump isn't crazy (via CNN Opinion)
genuine,Great Big Story
genuine,Trump responds to crying baby
genuine,Live from the beach in Rio de Janeiro
genuine,Great Big Story
genuine,Donald Trump receives Purple Heart from veteran
genuine,Obama says Trump 'unfit' for presidency
genuine,Eric Trump says Ivanka would not allow herself to be sexually harassed
genuine,Eric Trump says father apologized to Khans (but he hasn't)
genuine,Air Force mother booed at Pence event
genuine,All-refugee Olympic team set to make history in Rio
genuine,"No trash collection in Flint, MI, after contract expires"
genuine,Medical services for people with opioid dependence skyrockets
genuine,Fishermen catch 13-foot hammerhead shark
genuine,The man who writes your fortune
genuine,Trump vs. Clinton: Russia's view
genuine,Pope Francis creates commission to study possibility of female deacons
genuine,Cuba battles lung cancer with its own vaccine
genuine,Kentucky judge outraged by inmate's shorts
genuine,"With Russia a campaign issue, Clinton gains on foreign affairs"
genuine,Hurricanes vs. typhoons
genuine,Harry Potter and the Cursed Child premieres
genuine,"Nigerian man arrested in global, $60 million email scam"
genuine,"At least 30 people dead from shelling in Aleppo, monitor group says"
genuine,Nick Denton files for bankruptcy
genuine,Rio beefs up Olympic security presence by a third
genuine,Would you brave this new skywalk in China?
genuine,"Nuts, by the truckload, make appetizing targets for thieves"
genuine,10 things Brazil does better than anywhere else
genuine,State appeals new trial for 'Serial' subject
genuine,How Britain's McLaren conquered the world
genuine,Dylann Roof challenges death penalty
genuine,Meet Trump's latest political enemy: Fire marshals
genuine,Kesha drops one case against Dr. Luke
genuine,Apple is replacing the pistol emoji with a water gun in the next version of iOS10
genuine,"Man joins human chain, defies death to rescue woman in flood"
genuine,Hayden hits Trump on conflicting Putin statements
genuine,Top Trump campaign aide fired
genuine,Khizr Khan on tributes placed at son's grave
genuine,Donald Trump calls Hillary Clinton 'the devil'
genuine,Biden makes debut as wedding officiant for two staffers
genuine,Political Prediction Market: Clinton is a 3-to-1 favorite over Trump
genuine,Donald Trump calls Hillary Clinton 'the devil'
genuine,Warren Buffett challenges Donald Trump to discuss tax returns
genuine,CDC issues historic travel warning over Zika in Miami
genuine,Warren Buffett challenges Donald Trump to release his tax returns
genuine,Donald Trump's bad 72 hours
genuine,Post-convention poll: Clinton retakes lead over Trump
genuine,The Olympic athletes to follow on Instagram
genuine,Great Big Story
genuine,"No one's given more than Gold Star families, says Obama"
genuine,Great Big Story
genuine,Miss Teen USA criticized over racist tweets
genuine,Why eating meat is linked to higher risk of death
genuine,10 more cases of local Zika transmission in Florida
genuine,John Oliver slams Trump's 'sacrifices'
genuine,What Gold Star families know and Donald Trump doesn't (via CNN Opinion)
genuine,Traffic stop yields sweet surprise for unsuspecting drivers
genuine,"Hillary Clinton endorsed by Houston Chronicle, Trump 'danger to the Republic'"
genuine,Man surprises friend with kidney donation
genuine,Gold Star families demand apology from Trump
genuine,"McCain: Trump defamed Khan, does not represent GOP"
genuine,"Skydiver plummets 25,000 feet -- with no parachute"
genuine,Brazilian drug trafficker's luxury prison pad discovered
genuine,Family of slain US soldier speaks out
genuine,Human chain rescues woman from trapped car
genuine,Met police head expects terror attack in UK
genuine,Hear a vinyl record played in space for first time
genuine,CNN International
genuine,Miss Teen USA is in a Twitter scandal over racial slur
genuine,Trafficker's luxe prison pad discovered
genuine,F1 boss' kidnapped mother-in-law released in Brazil
genuine,The only South Korean town where you can play Pokemon Go
genuine,"""Could the world's """"Long Peace"""" be over?"""
genuine,Maryland county official: 'Never seen such devastation'
genuine,Royal patrol counts the Queen's swans
genuine,Europe on the edge: The new normal
genuine,This paint is made out of pollution
genuine,The Great CNN Olympics Quiz
genuine,Apple has sold its billionth iPhone
genuine,The world's most exquisite libraries and bookstores
genuine,Are fireflies flickering out?
genuine,The world's most glamorous department stores
genuine,"New details: Sharks, secrets and the sinking of the USS Indianapolis"
genuine,World's deepest' underwater sinkhole found in China
genuine,Touring the Rio 2016 athletes village
genuine,Life in a converted bomb shelter
genuine,The surprising secret to Bill and Hillary Clinton's marriage (via CNN Opinion)
genuine,Record-setting footprint from a flesh-eating dinosaur discovered
genuine,Woman dies in flash flooding near Baltimore
genuine,Man wins Pacific island resort in $49 raffle
genuine,Enter the mind of Bruce Lee
genuine,Clinton: Trump's coziness with Putin 'raises national security issues'
genuine,"Trump says Putin is 'not going to go into Ukraine,' despite Crimea"
genuine,Khizr Khan: Trump has a 'black soul'
genuine,Kaine breaks with Clinton on abortion provision
genuine,Khizr Khan: Trump has a 'black soul'
